car,time [us],time [s],NIS
0, 33333, 0.033333, 0.82712
0, 66666, 0.066666, 0.565505
0, 100000, 0.1, 1.06223
0, 133333, 0.133333, 0.813041
0, 166666, 0.166666, 0.990118
0, 200000, 0.2, 1.59966
0, 233333, 0.233333, 0.342641
0, 266666, 0.266666, 2.2233
0, 300000, 0.3, 0.494098
0, 333333, 0.333333, 1.69406
0, 366666, 0.366666, 6.51549
0, 400000, 0.4, 2.91769
0, 433333, 0.433333, 0.192707
0, 466666, 0.466666, 0.487452
0, 500000, 0.5, 0.687881
0, 533333, 0.533333, 1.75262
0, 566666, 0.566666, 2.63166
0, 600000, 0.6, 0.0862438
0, 633333, 0.633333, 5.59593
0, 666666, 0.666666, 2.33635
0, 700000, 0.7, 1.04063
0, 733333, 0.733333, 1.32523
0, 766666, 0.766666, 0.437787
0, 800000, 0.8, 0.405406
0, 833333, 0.833333, 0.0287733
0, 866666, 0.866666, 2.63648
0, 900000, 0.9, 1.25354
0, 933333, 0.933333, 5.61673
0, 966666, 0.966666, 2.56466
0, 1000000, 1, 2.89218
0, 1033333, 1.03333, 0.758489
0, 1066666, 1.06667, 1.53434
0, 1100000, 1.1, 0.210753
0, 1133333, 1.13333, 1.71588
0, 1166666, 1.16667, 2.01086
0, 1200000, 1.2, 0.373027
0, 1233333, 1.23333, 0.453797
0, 1266666, 1.26667, 0.340521
0, 1300000, 1.3, 0.702176
0, 1333333, 1.33333, 1.93933
0, 1366666, 1.36667, 2.8988
0, 1400000, 1.4, 3.39712
0, 1433333, 1.43333, 0.0502579
0, 1466666, 1.46667, 4.58885
0, 1500000, 1.5, 1.3172
0, 1533333, 1.53333, 2.65628
0, 1566666, 1.56667, 3.81281
0, 1600000, 1.6, 0.776411
0, 1633333, 1.63333, 0.886166
0, 1666666, 1.66667, 3.31717
0, 1700000, 1.7, 5.41573
0, 1733333, 1.73333, 0.545205
0, 1766666, 1.76667, 0.35981
0, 1800000, 1.8, 1.33542
0, 1833333, 1.83333, 2.07641
0, 1866666, 1.86667, 0.77401
0, 1900000, 1.9, 3.28723
0, 1933333, 1.93333, 5.02373
0, 1966666, 1.96667, 7.17885
0, 2000000, 2, 2.5196
0, 2033333, 2.03333, 2.56941
0, 2066666, 2.06667, 0.97981
0, 2100000, 2.1, 0.717524
0, 2133333, 2.13333, 0.774922
0, 2166666, 2.16667, 4.97911
0, 2200000, 2.2, 1.83371
0, 2233333, 2.23333, 2.26383
0, 2266666, 2.26667, 9.99238
0, 2300000, 2.3, 0.0472898
0, 2333333, 2.33333, 12.4281
0, 2366666, 2.36667, 3.09377
0, 2400000, 2.4, 4.11293
0, 2433333, 2.43333, 3.20672
0, 2466666, 2.46667, 2.46631
0, 2500000, 2.5, 1.00722
0, 2533333, 2.53333, 0.704008
0, 2566666, 2.56667, 1.79967
0, 2600000, 2.6, 4.71388
0, 2633333, 2.63333, 10.8675
0, 2666666, 2.66667, 0.0507148
0, 2700000, 2.7, 0.816224
0, 2733333, 2.73333, 2.44525
0, 2766666, 2.76667, 2.61754
0, 2800000, 2.8, 1.4876
0, 2833333, 2.83333, 0.968789
0, 2866666, 2.86667, 4.28326
0, 2900000, 2.9, 0.96841
0, 2933333, 2.93333, 3.79904
0, 2966666, 2.96667, 1.14974
0, 3000000, 3, 4.15857
0, 3033333, 3.03333, 0.280931
0, 3066666, 3.06667, 4.62288
0, 3100000, 3.1, 0.0459975
0, 3133333, 3.13333, 0.923902
0, 3166666, 3.16667, 1.43899
0, 3200000, 3.2, 1.3353
0, 3233333, 3.23333, 0.613064
0, 3266666, 3.26667, 2.30622
0, 3300000, 3.3, 0.661082
0, 3333333, 3.33333, 2.00136
0, 3366666, 3.36667, 1.41481
0, 3400000, 3.4, 5.91643
0, 3433333, 3.43333, 0.320124
0, 3466666, 3.46667, 2.88785
0, 3500000, 3.5, 1.72248
0, 3533333, 3.53333, 0.159965
0, 3566666, 3.56667, 1.20959
0, 3600000, 3.6, 0.620366
0, 3633333, 3.63333, 2.47329
0, 3666666, 3.66667, 1.05827
0, 3700000, 3.7, 0.239318
0, 3733333, 3.73333, 6.46802
0, 3766666, 3.76667, 4.05753
0, 3800000, 3.8, 7.62365
0, 3833333, 3.83333, 5.71399
0, 3866666, 3.86667, 3.19942
0, 3900000, 3.9, 3.00685
0, 3933333, 3.93333, 9.39182
0, 3966666, 3.96667, 3.40864
0, 4000000, 4, 3.09988
0, 4033333, 4.03333, 1.21011
0, 4066666, 4.06667, 1.38682
0, 4100000, 4.1, 1.24031
0, 4133333, 4.13333, 1.31876
0, 4166666, 4.16667, 1.22353
0, 4200000, 4.2, 0.8361
0, 4233333, 4.23333, 2.14106
0, 4266666, 4.26667, 5.33607
0, 4300000, 4.3, 0.617754
0, 4333333, 4.33333, 1.22753
0, 4366666, 4.36667, 0.138674
0, 4400000, 4.4, 0.0697438
0, 4433333, 4.43333, 0.673907
0, 4466666, 4.46667, 2.07318
0, 4500000, 4.5, 1.50968
0, 4533333, 4.53333, 0.881816
0, 4566666, 4.56667, 4.4764
0, 4600000, 4.6, 0.95477
0, 4633333, 4.63333, 1.51039
0, 4666666, 4.66667, 0.253914
0, 4700000, 4.7, 1.18696
0, 4733333, 4.73333, 1.80738
0, 4766666, 4.76667, 2.74268
0, 4800000, 4.8, 3.81827
0, 4833333, 4.83333, 3.36077
0, 4866666, 4.86667, 3.09167
0, 4900000, 4.9, 2.00496
0, 4933333, 4.93333, 1.7787
0, 4966666, 4.96667, 0.905963
0, 5000000, 5, 2.27611
0, 5033333, 5.03333, 0.40271
0, 5066666, 5.06667, 3.91556
0, 5100000, 5.1, 1.81971
0, 5133333, 5.13333, 9.7799
0, 5166666, 5.16667, 0.478235
0, 5200000, 5.2, 1.68559
0, 5233333, 5.23333, 0.482836
0, 5266666, 5.26667, 1.17676
0, 5300000, 5.3, 0.626204
0, 5333333, 5.33333, 2.86579
0, 5366666, 5.36667, 0.134879
0, 5400000, 5.4, 1.05053
0, 5433333, 5.43333, 0.144425
0, 5466666, 5.46667, 0.762268
0, 5500000, 5.5, 0.937271
0, 5533333, 5.53333, 1.76907
0, 5566666, 5.56667, 0.126755
0, 5600000, 5.6, 0.769023
0, 5633333, 5.63333, 0.261522
0, 5666666, 5.66667, 4.75033
0, 5700000, 5.7, 5.09965
0, 5733333, 5.73333, 2.14633
0, 5766666, 5.76667, 2.23889
0, 5800000, 5.8, 4.70422
0, 5833333, 5.83333, 4.65284
0, 5866666, 5.86667, 4.37946
0, 5900000, 5.9, 2.19806
0, 5933333, 5.93333, 5.70058
0, 5966666, 5.96667, 0.0743949
0, 6000000, 6, 0.0133933
0, 6033333, 6.03333, 0.15764
0, 6066666, 6.06667, 0.396477
0, 6100000, 6.1, 2.31633
0, 6133333, 6.13333, 7.14946
0, 6166666, 6.16667, 3.43349
0, 6200000, 6.2, 1.07917
0, 6233333, 6.23333, 1.91098
0, 6266666, 6.26667, 0.820018
0, 6300000, 6.3, 0.27466
0, 6333333, 6.33333, 0.494999
0, 6366666, 6.36667, 4.73417
0, 6400000, 6.4, 0.448514
0, 6433333, 6.43333, 0.85553
0, 6466666, 6.46667, 1.00838
0, 6500000, 6.5, 3.28198
0, 6533333, 6.53333, 0.115208
0, 6566666, 6.56667, 0.352704
0, 6600000, 6.6, 0.196001
0, 6633333, 6.63333, 2.51824
0, 6666666, 6.66667, 1.59049
0, 6700000, 6.7, 1.36512
0, 6733333, 6.73333, 10.4611
0, 6766666, 6.76667, 1.05686
0, 6800000, 6.8, 3.79127
0, 6833333, 6.83333, 1.17445
0, 6866666, 6.86667, 0.695645
0, 6900000, 6.9, 1.03163
0, 6933333, 6.93333, 0.669177
0, 6966666, 6.96667, 6.16509
0, 7000000, 7, 0.352733
0, 7033333, 7.03333, 3.33208
0, 7066666, 7.06667, 5.81267
0, 7100000, 7.1, 0.643643
0, 7133333, 7.13333, 2.02291
0, 7166666, 7.16667, 1.63766
0, 7200000, 7.2, 0.474246
0, 7233333, 7.23333, 3.44432
0, 7266666, 7.26667, 4.80617
0, 7300000, 7.3, 1.70823
0, 7333333, 7.33333, 1.18639
0, 7366666, 7.36667, 2.25124
0, 7400000, 7.4, 2.60996
0, 7433333, 7.43333, 0.915393
0, 7466666, 7.46667, 1.16624
0, 7500000, 7.5, 3.45475
0, 7533333, 7.53333, 1.83702
0, 7566666, 7.56667, 0.457105
0, 7600000, 7.6, 0.105479
0, 7633333, 7.63333, 1.0784
0, 7666666, 7.66667, 2.60457
0, 7700000, 7.7, 1.16076
0, 7733333, 7.73333, 1.84464
0, 7766666, 7.76667, 3.57288
0, 7800000, 7.8, 2.73933
0, 7833333, 7.83333, 2.74234
0, 7866666, 7.86667, 3.66836
0, 7900000, 7.9, 0.402385
0, 7933333, 7.93333, 2.58296
0, 7966666, 7.96667, 1.72037
0, 8000000, 8, 4.0199
0, 8033333, 8.03333, 2.55376
0, 8066666, 8.06667, 0.496267
0, 8100000, 8.1, 1.38287
0, 8133333, 8.13333, 3.45205
0, 8166666, 8.16667, 4.75516
0, 8200000, 8.2, 0.0739704
0, 8233333, 8.23333, 1.91539
0, 8266666, 8.26667, 5.45744
0, 8300000, 8.3, 1.36525
0, 8333333, 8.33333, 3.25257
0, 8366666, 8.36667, 0.747571
0, 8400000, 8.4, 2.86578
0, 8433333, 8.43333, 3.847
0, 8466666, 8.46667, 0.401311
0, 8500000, 8.5, 1.17202
0, 8533333, 8.53333, 5.56056
0, 8566666, 8.56667, 0.989114
0, 8600000, 8.6, 0.755587
0, 8633333, 8.63333, 0.982995
0, 8666666, 8.66667, 3.42881
