car,time [us],time [s],NIS
0, 0, 0, 21.7067
0, 33333, 0.033333, 2.36401
0, 66666, 0.066666, 0.981681
0, 100000, 0.1, 1.56421
0, 133333, 0.133333, 0.785576
0, 166666, 0.166666, 3.06546
0, 200000, 0.2, 3.45107
0, 233333, 0.233333, 0.150621
0, 266666, 0.266666, 6.89836
0, 300000, 0.3, 0.408622
0, 333333, 0.333333, 3.93358
0, 366666, 0.366666, 2.83686
0, 400000, 0.4, 0.312362
0, 433333, 0.433333, 7.32102
0, 466666, 0.466666, 3.81785
0, 500000, 0.5, 1.62579
0, 533333, 0.533333, 1.35493
0, 566666, 0.566666, 0.957297
0, 600000, 0.6, 2.86538
0, 633333, 0.633333, 3.59439
0, 666666, 0.666666, 5.98189
0, 700000, 0.7, 3.256
0, 733333, 0.733333, 1.45866
0, 766666, 0.766666, 0.225647
0, 800000, 0.8, 1.41064
0, 833333, 0.833333, 2.04734
0, 866666, 0.866666, 1.03952
0, 900000, 0.9, 1.79467
0, 933333, 0.933333, 3.37132
0, 966666, 0.966666, 2.72951
0, 1000000, 1, 3.09789
0, 1033333, 1.03333, 0.037536
0, 1066666, 1.06667, 0.61901
0, 1100000, 1.1, 2.63599
0, 1133333, 1.13333, 0.698095
0, 1166666, 1.16667, 0.742094
0, 1200000, 1.2, 4.57498
0, 1233333, 1.23333, 6.29594
0, 1266666, 1.26667, 7.90671
0, 1300000, 1.3, 7.7937
0, 1333333, 1.33333, 4.96492
0, 1366666, 1.36667, 1.94187
0, 1400000, 1.4, 1.2644
0, 1433333, 1.43333, 2.14267
0, 1466666, 1.46667, 1.55283
0, 1500000, 1.5, 6.1276
0, 1533333, 1.53333, 7.79238
0, 1566666, 1.56667, 1.43963
0, 1600000, 1.6, 5.39885
0, 1633333, 1.63333, 1.09105
0, 1666666, 1.66667, 2.92268
0, 1700000, 1.7, 1.16129
0, 1733333, 1.73333, 2.71983
0, 1766666, 1.76667, 0.576183
0, 1800000, 1.8, 3.16506
0, 1833333, 1.83333, 1.00577
0, 1866666, 1.86667, 1.82074
0, 1900000, 1.9, 7.97123
0, 1933333, 1.93333, 4.00165
0, 1966666, 1.96667, 2.6524
0, 2000000, 2, 4.12208
0, 2033333, 2.03333, 1.14734
0, 2066666, 2.06667, 0.788079
0, 2100000, 2.1, 1.42265
0, 2133333, 2.13333, 1.56167
0, 2166666, 2.16667, 2.80272
0, 2200000, 2.2, 0.485736
0, 2233333, 2.23333, 0.137188
0, 2266666, 2.26667, 1.31923
0, 2300000, 2.3, 2.30947
0, 2333333, 2.33333, 1.45697
0, 2366666, 2.36667, 1.04864
0, 2400000, 2.4, 5.21035
